iter	Passed	Remaining
250	5692	16987
251	5710	16950
252	5728	16913
253	5750	16889
254	5770	16859
255	5788	16822
256	5804	16781
257	5823	16748
258	5841	16711
259	5858	16673
260	5876	16639
261	5893	16599
262	5910	16562
263	5928	16528
264	5946	16493
265	5962	16454
266	5979	16415
267	5995	16375
268	6012	16339
269	6028	16300
270	6045	16263
271	6064	16231
272	6086	16208
273	6104	16175
274	6121	16137
275	6137	16100
276	6155	16065
277	6172	16031
278	6193	16005
279	6220	15996
280	6249	15990
281	6272	15971
282	6287	15930
283	6304	15893
284	6319	15855
285	6337	15821
286	6354	15786
287	6373	15756
288	6389	15719
289	6405	15683
290	6422	15647
291	6446	15629
292	6474	15623
293	6490	15585
294	6505	15547
295	6520	15508
296	6536	15472
297	6559	15452
298	6581	15429
299	6598	15395
300	6615	15363
301	6637	15341
302	6665	15331
303	6695	15329
304	6729	15334
305	6760	15331
306	6791	15329
307	6821	15326
308	6851	15322
309	6881	15316
310	6900	15287
311	6916	15251
312	6935	15222
313	6951	15186
314	6968	15154
315	6986	15121
316	7003	15089
317	7019	15055
318	7036	15021
319	7051	14985
320	7067	14950
321	7084	14917
322	7102	14887
323	7120	14857
324	7137	14823
325	7153	14789
326	7169	14756
327	7186	14724
328	7203	14690
329	7222	14663
330	7237	14628
331	7253	14595
332	7273	14568
333	7288	14533
334	7304	14500
335	7319	14465
336	7335	14430
337	7351	14399
338	7368	14366
339	7382	14331
340	7397	14295
341	7413	14263
342	7430	14232
343	7447	14201
344	7463	14170
345	7480	14139
346	7496	14108
347	7519	14088
348	7539	14062
349	7555	14031
350	7572	14000
351	7589	13971
352	7606	13942
353	7623	13911
354	7640	13882
355	7669	13874
356	7694	13858
357	7715	13835
358	7732	13806
359	7749	13776
360	7765	13746
361	7782	13716
362	7798	13685
363	7814	13653
364	7830	13623
365	7848	13595
366	7864	13564
367	7879	13532
368	7896	13502
369	7912	13472
370	7931	13446
371	7948	13417
372	7965	13389
373	7999	13389
374	8035	13393
375	8068	13390
376	8098	13383
377	8130	13378
378	8162	13373
379	8197	13374
380	8216	13349
381	8233	13319
382	8251	13292
383	8266	13260
384	8283	13232
385	8304	13210
386	8324	13186
387	8342	13159
388	8359	13129
389	8374	13098
390	8389	13067
391	8405	13037
392	8422	13008
393	8439	12981
394	8455	12950
395	8470	12919
396	8486	12890
397	8502	12860
398	8518	12831
399	8536	12805
400	8552	12775
401	8567	12745
